




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4344)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of catabolic process (GO:0009894)	1066	291	224.85	+	1.29	9.35E-05	5.26E-03
immune response-regulating signaling pathway (GO:0002764)	495	64	104.41	-	.61	9.52E-05	5.34E-03
anatomical structure formation involved in morphogenesis (GO:0048646)	883	247	186.25	+	1.33	9.61E-05	5.37E-03
embryonic morphogenesis (GO:0048598)	570	170	120.23	+	1.41	9.74E-05	5.42E-03
pallium development (GO:0021543)	173	66	36.49	+	1.81	1.00E-04	5.53E-03
artery development (GO:0060840)	89	41	18.77	+	2.18	1.00E-04	5.54E-03
regulation of response to stimulus (GO:0048583)	4306	1025	908.24	+	1.13	1.00E-04	5.55E-03
RNA processing (GO:0006396)	930	258	196.16	+	1.32	1.02E-04	5.58E-03
female sex differentiation (GO:0046660)	107	46	22.57	+	2.04	1.04E-04	5.68E-03
regulation of locomotion (GO:0040012)	997	274	210.29	+	1.30	1.05E-04	5.75E-03
regulation of neuron apoptotic process (GO:0043523)	210	76	44.29	+	1.72	1.09E-04	5.93E-03
limbic system development (GO:0021761)	109	47	22.99	+	2.04	1.12E-04	6.04E-03
regulation of neuron differentiation (GO:0045664)	193	71	40.71	+	1.74	1.13E-04	6.07E-03
renal system development (GO:0072001)	291	98	61.38	+	1.60	1.13E-04	6.09E-03
positive regulation of immune response (GO:0050778)	747	108	157.56	-	.69	1.13E-04	6.10E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	64	103.78	-	.62	1.16E-04	6.19E-03
regulation of neuron death (GO:1901214)	316	104	66.65	+	1.56	1.23E-04	6.53E-03
negative regulation of protein modification process (GO:0031400)	558	166	117.70	+	1.41	1.24E-04	6.60E-03
regulation of developmental growth (GO:0048638)	320	105	67.50	+	1.56	1.33E-04	7.02E-03
ncRNA processing (GO:0034470)	436	135	91.96	+	1.47	1.40E-04	7.39E-03
regulation of cellular amide metabolic process (GO:0034248)	479	146	101.03	+	1.45	1.43E-04	7.49E-03
plasma membrane invagination (GO:0099024)	141	10	29.74	-	.34	1.45E-04	7.56E-03
cellular localization (GO:0051641)	2985	729	629.61	+	1.16	1.45E-04	7.57E-03
negative regulation of developmental process (GO:0051093)	879	244	185.40	+	1.32	1.51E-04	7.84E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	265	336.00	-	.79	1.53E-04	7.93E-03
outflow tract morphogenesis (GO:0003151)	67	33	14.13	+	2.34	1.61E-04	8.30E-03
regulation of smooth muscle cell migration (GO:0014910)	67	33	14.13	+	2.34	1.61E-04	8.33E-03
activation of immune response (GO:0002253)	530	71	111.79	-	.64	1.65E-04	8.46E-03
regulation of cell growth (GO:0001558)	422	131	89.01	+	1.47	1.74E-04	8.88E-03
negative regulation of neuron apoptotic process (GO:0043524)	146	57	30.80	+	1.85	1.75E-04	8.93E-03
epidermal cell differentiation (GO:0009913)	322	37	67.92	-	.54	1.91E-04	9.70E-03
regulation of cell motility (GO:2000145)	954	261	201.22	+	1.30	1.93E-04	9.79E-03
kidney development (GO:0001822)	282	94	59.48	+	1.58	2.01E-04	1.02E-02
sensory organ morphogenesis (GO:0090596)	261	88	55.05	+	1.60	2.09E-04	1.05E-02
heart morphogenesis (GO:0003007)	241	83	50.83	+	1.63	2.09E-04	1.05E-02
ncRNA metabolic process (GO:0034660)	521	155	109.89	+	1.41	2.08E-04	1.05E-02
regulation of protein kinase activity (GO:0045859)	802	224	169.16	+	1.32	2.12E-04	1.05E-02
cell fate specification (GO:0001708)	81	37	17.08	+	2.17	2.11E-04	1.05E-02
positive regulation of signaling (GO:0023056)	1761	449	371.44	+	1.21	2.13E-04	1.05E-02
ribonucleoprotein complex biogenesis (GO:0022613)	462	140	97.45	+	1.44	2.11E-04	1.05E-02
spinal cord development (GO:0021510)	100	43	21.09	+	2.04	2.17E-04	1.07E-02
epithelial tube morphogenesis (GO:0060562)	309	101	65.18	+	1.55	2.22E-04	1.09E-02
cellular component assembly (GO:0022607)	2494	616	526.05	+	1.17	2.23E-04	1.09E-02
negative regulation of cell differentiation (GO:0045596)	644	185	135.84	+	1.36	2.30E-04	1.12E-02
response to endogenous stimulus (GO:0009719)	1426	371	300.78	+	1.23	2.31E-04	1.12E-02
growth (GO:0040007)	361	114	76.14	+	1.50	2.37E-04	1.15E-02
synapse organization (GO:0050808)	289	95	60.96	+	1.56	2.42E-04	1.17E-02
cardiac septum morphogenesis (GO:0060411)	66	32	13.92	+	2.30	2.44E-04	1.17E-02
reproductive structure development (GO:0048608)	416	128	87.74	+	1.46	2.45E-04	1.18E-02
regulation of transport (GO:0051049)	1772	451	373.76	+	1.21	2.47E-04	1.19E-02
reproductive system development (GO:0061458)	419	129	88.38	+	1.46	2.56E-04	1.22E-02
in utero embryonic development (GO:0001701)	366	115	77.20	+	1.49	2.60E-04	1.24E-02
transcription by RNA polymerase II (GO:0006366)	382	119	80.57	+	1.48	2.73E-04	1.30E-02
developmental growth (GO:0048589)	358	113	75.51	+	1.50	2.81E-04	1.33E-02
nervous system process (GO:0050877)	1416	234	298.67	-	.78	2.83E-04	1.33E-02
positive regulation of cell communication (GO:0010647)	1755	446	370.17	+	1.20	2.92E-04	1.38E-02
cardiac chamber morphogenesis (GO:0003206)	119	48	25.10	+	1.91	2.95E-04	1.38E-02
sensory system development (GO:0048880)	374	117	78.89	+	1.48	2.96E-04	1.39E-02
apoptotic process (GO:0006915)	913	249	192.57	+	1.29	3.09E-04	1.44E-02
eye development (GO:0001654)	364	114	76.78	+	1.48	3.15E-04	1.46E-02
regulation of anatomical structure size (GO:0090066)	514	152	108.42	+	1.40	3.41E-04	1.58E-02
cardiac chamber development (GO:0003205)	162	60	34.17	+	1.76	3.42E-04	1.58E-02
negative regulation of neuron death (GO:1901215)	209	73	44.08	+	1.66	3.51E-04	1.62E-02
rRNA processing (GO:0006364)	262	87	55.26	+	1.57	3.60E-04	1.66E-02
regulation of complement activation (GO:0030449)	118	8	24.89	-	.32	3.72E-04	1.70E-02
cell killing (GO:0001906)	126	9	26.58	-	.34	3.75E-04	1.71E-02
retina development in camera-type eye (GO:0060041)	148	56	31.22	+	1.79	3.82E-04	1.73E-02
positive regulation of DNA metabolic process (GO:0051054)	202	71	42.61	+	1.67	3.81E-04	1.74E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	30	56.74	-	.53	3.97E-04	1.80E-02
peptidyl-serine phosphorylation (GO:0018105)	185	66	39.02	+	1.69	4.09E-04	1.85E-02
visual system development (GO:0150063)	368	114	77.62	+	1.47	4.25E-04	1.91E-02
camera-type eye development (GO:0043010)	317	101	66.86	+	1.51	4.26E-04	1.91E-02
neuron fate commitment (GO:0048663)	62	30	13.08	+	2.29	4.46E-04	2.00E-02
organic cyclic compound biosynthetic process (GO:1901362)	1196	314	252.27	+	1.24	4.61E-04	2.05E-02
regulation of axonogenesis (GO:0050770)	161	59	33.96	+	1.74	4.60E-04	2.05E-02
negative regulation of cell population proliferation (GO:0008285)	703	197	148.28	+	1.33	4.70E-04	2.09E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	6	21.51	-	.28	4.91E-04	2.16E-02
regulation of circadian rhythm (GO:0042752)	122	48	25.73	+	1.87	4.94E-04	2.16E-02
artery morphogenesis (GO:0048844)	63	30	13.29	+	2.26	4.93E-04	2.16E-02
peptide cross-linking (GO:0018149)	102	6	21.51	-	.28	4.91E-04	2.16E-02
protein modification by small protein conjugation or removal (GO:0070647)	1035	276	218.31	+	1.26	4.97E-04	2.16E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	84	53.36	+	1.57	4.89E-04	2.16E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	127	88.59	+	1.43	4.90E-04	2.16E-02
regulation of binding (GO:0051098)	365	113	76.99	+	1.47	4.99E-04	2.17E-02
positive regulation of phosphorylation (GO:0042327)	921	249	194.26	+	1.28	5.04E-04	2.18E-02
regulation of membrane potential (GO:0042391)	437	131	92.17	+	1.42	5.09E-04	2.20E-02
development of primary female sexual characteristics (GO:0046545)	93	39	19.62	+	1.99	5.13E-04	2.21E-02
regulation of protein localization (GO:0032880)	894	242	188.57	+	1.28	5.66E-04	2.43E-02
molting cycle process (GO:0022404)	77	34	16.24	+	2.09	6.07E-04	2.59E-02
hair cycle process (GO:0022405)	77	34	16.24	+	2.09	6.07E-04	2.60E-02
DNA metabolic process (GO:0006259)	777	214	163.89	+	1.31	6.16E-04	2.63E-02
cytoskeleton organization (GO:0007010)	1212	316	255.64	+	1.24	6.43E-04	2.72E-02
movement of cell or subcellular component (GO:0006928)	1596	405	336.64	+	1.20	6.43E-04	2.72E-02
positive regulation of cell projection organization (GO:0031346)	353	109	74.46	+	1.46	6.42E-04	2.73E-02
sensory perception of bitter taste (GO:0050913)	41	0	8.65	-	 < 0.01	6.49E-04	2.73E-02
behavior (GO:0007610)	557	160	117.49	+	1.36	6.66E-04	2.80E-02
regulation of cell cycle process (GO:0010564)	792	217	167.05	+	1.30	6.87E-04	2.88E-02
response to growth factor (GO:0070848)	526	152	110.95	+	1.37	6.94E-04	2.90E-02
regulation of cellular component biogenesis (GO:0044087)	974	260	205.44	+	1.27	6.97E-04	2.90E-02
cellular response to DNA damage stimulus (GO:0006974)	793	217	167.26	+	1.30	6.93E-04	2.90E-02
positive regulation of transferase activity (GO:0051347)	693	193	146.17	+	1.32	7.04E-04	2.91E-02
cellular response to endogenous stimulus (GO:0071495)	1152	302	242.99	+	1.24	7.04E-04	2.92E-02
cornification (GO:0070268)	113	8	23.83	-	.34	7.10E-04	2.93E-02
tissue development (GO:0009888)	1729	435	364.69	+	1.19	7.17E-04	2.95E-02
negative regulation of immune response (GO:0050777)	373	48	78.68	-	.61	7.25E-04	2.98E-02
protein modification by small protein conjugation (GO:0032446)	822	224	173.38	+	1.29	7.30E-04	2.99E-02
rRNA metabolic process (GO:0016072)	272	88	57.37	+	1.53	7.41E-04	3.02E-02
developmental growth involved in morphogenesis (GO:0060560)	115	45	24.26	+	1.86	7.41E-04	3.03E-02
response to organonitrogen compound (GO:0010243)	1014	269	213.88	+	1.26	7.61E-04	3.09E-02
regulation of cellular catabolic process (GO:0031329)	899	242	189.62	+	1.28	7.78E-04	3.15E-02
cellular macromolecule catabolic process (GO:0044265)	925	248	195.11	+	1.27	7.91E-04	3.19E-02
regulation of cell cycle phase transition (GO:1901987)	522	151	110.10	+	1.37	7.90E-04	3.19E-02
chordate embryonic development (GO:0043009)	613	173	129.30	+	1.34	8.07E-04	3.23E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	43	22.99	+	1.87	8.10E-04	3.23E-02
central nervous system neuron development (GO:0021954)	88	37	18.56	+	1.99	8.07E-04	3.24E-02
embryo development ending in birth or egg hatching (GO:0009792)	633	178	133.52	+	1.33	8.15E-04	3.24E-02
female gonad development (GO:0008585)	88	37	18.56	+	1.99	8.07E-04	3.24E-02
ear development (GO:0043583)	220	74	46.40	+	1.59	8.28E-04	3.29E-02
cerebral cortex development (GO:0021987)	118	46	24.89	+	1.85	8.46E-04	3.35E-02
production of molecular mediator of immune response (GO:0002440)	141	12	29.74	-	.40	8.63E-04	3.41E-02
regulation of humoral immune response (GO:0002920)	142	12	29.95	-	.40	8.65E-04	3.41E-02
DNA repair (GO:0006281)	531	153	112.00	+	1.37	8.69E-04	3.42E-02
cardiac septum development (GO:0003279)	103	41	21.73	+	1.89	8.87E-04	3.48E-02
regulation of Wnt signaling pathway (GO:0030111)	377	114	79.52	+	1.43	9.26E-04	3.62E-02
regulation of neural precursor cell proliferation (GO:2000177)	90	37	18.98	+	1.95	9.59E-04	3.74E-02
inner ear development (GO:0048839)	195	67	41.13	+	1.63	9.87E-04	3.84E-02
positive regulation of cell death (GO:0010942)	638	178	134.57	+	1.32	1.01E-03	3.91E-02
regulation of synapse assembly (GO:0051963)	99	40	20.88	+	1.92	1.01E-03	3.91E-02
positive regulation of phosphate metabolic process (GO:0045937)	998	264	210.50	+	1.25	1.04E-03	4.01E-02
positive regulation of phosphorus metabolic process (GO:0010562)	998	264	210.50	+	1.25	1.04E-03	4.02E-02
negative regulation of phosphorylation (GO:0042326)	395	118	83.32	+	1.42	1.18E-03	4.54E-02
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	132	11	27.84	-	.40	1.22E-03	4.68E-02
macromolecule catabolic process (GO:0009057)	1058	277	223.16	+	1.24	1.24E-03	4.75E-02
cellular response to growth factor stimulus (GO:0071363)	497	143	104.83	+	1.36	1.25E-03	4.78E-02
mammary gland development (GO:0030879)	128	48	27.00	+	1.78	1.29E-03	4.91E-02
